Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
118;0;182.104;102.076;56.528;59.088;59.259;173.295;77.049;106.997;203.806;106.095;265.313;497.912
119;0;181.888;101.812;56.67;59.558;59.855;173.567;77.476;107.961;204.599;106.966;265.851;499.364
120;0;181.719;101.75;56.862;59.813;61.781;174.129;77.911;108.999;205.167;107.728;266.549;501.008
121;0;181.76;101.748;57.171;60.155;62.056;174.743;78.495;109.765;206.55;108.955;267.429;503.132
122;0;181.534;101.581;57.365;60.36;62.388;175.178;166.503;110.622;207.077;109.542;268.27;505.056
123;0;181.399;101.566;57.536;60.518;62.573;175.542;169.164;111.367;207.81;110.377;269.609;507.021
124;0;181.391;101.664;57.754;60.631;62.759;175.85;171.129;112.081;208.886;111.128;270.683;509.236
125;0;181.356;101.432;57.878;61.11;62.836;176.352;172.89;112.739;210.046;112.056;377.075;511.22
126;0;180.998;101.073;57.922;61.089;63.06;176.599;173.888;113.322;210.519;112.696;381.248;512.807
127;0;180.857;100.897;58.293;61.193;63.366;177.135;175.276;114.006;211.643;113.62;384.336;514.844
128;0;180.692;100.925;58.537;61.209;63.673;177.667;176.107;114.811;212.357;114.946;389.442;517.009
129;0;180.718;101.147;59.023;61.682;64.019;178.094;177.532;116.02;213.254;116.293;393.298;519.332
130;0;180.764;101.157;59.362;62.037;64.201;178.674;179.304;116.833;214.16;117.011;395.636;521.62
131;0;180.575;101.102;59.911;62.31;64.29;179.056;180.295;118.213;215.257;117.817;397.59;523.974
132;0;180.405;101.062;60.231;62.425;64.494;179.579;181.004;118.897;216.458;118.632;399.13;525.786
133;0;180.12;100.966;60.372;62.534;64.797;179.901;181.284;119.488;217.543;119.186;400.973;528.232
134;0;180.063;101.001;60.748;62.637;65.381;180.652;182.221;120.351;218.668;120.049;404.595;530.456
135;0;266.178;100.96;61.066;62.895;66.127;181.095;182.954;121.152;219.647;120.961;405.75;532.712
136;0;267.44;100.977;61.294;63.016;66.672;181.481;183.628;121.898;220.209;121.584;407.055;535.283
137;0;267.948;101.082;61.637;63.475;67.386;182.169;184.587;122.826;221.494;122.341;409.564;537.356
138;0;268.254;100.849;61.812;63.618;67.904;182.416;185.195;123.544;222.159;123.229;410.544;629.342
139;23.375;206.446;38.849;0;1.798;6.35;120.866;123.957;62.285;160.388;61.998;350.477;571.248
140;23.712;206.439;38.432;0;1.703;6.691;120.932;124.694;63.214;160.371;62.903;351.866;573.053
141;21.736;204.633;36.263;84.235;0;90.452;119.301;123.441;147.913;158.969;61.848;351.56;573.099
142;21.501;204.63;36.101;84.998;0;91.626;119.367;123.639;149.093;159.546;62.669;352.988;575.31
143;21.048;204.536;35.586;84.895;0;91.86;119.431;123.985;149.998;246.834;62.975;354.516;576.913
144;20.757;204.59;35.228;84.841;0;92.035;205.283;124.609;150.493;248.605;63.637;355.645;578.007
145;20.9;204.984;121.014;84.966;0;92.554;206.378;125.428;151.158;249.531;150.364;356.979;579.82
146;0;184.254;101.724;63.977;65.561;72.204;185.82;105.048;131.27;229.574;131.077;337.776;561.177
147;0;270.402;102.822;64.033;66.944;72.651;186.239;106.025;131.866;230.167;132.67;339.085;563.508
148;0;270.854;103.367;63.933;67.829;72.962;186.399;106.726;132.417;230.842;133.842;340.305;565.555
149;0;270.918;103.765;64.049;68.456;73.394;186.525;107.451;132.829;231.803;135.007;341.425;567.384
150;0;271.078;104.279;64.215;69.3;74.217;186.846;108.719;133.949;232.819;136.132;344.933;569.439
151;0;271.062;104.479;64.249;69.76;74.594;186.97;109.983;134.289;233.801;137.385;345.734;571.352
152;0;271.068;104.815;64.07;70.573;75.028;187.097;110.914;134.539;235.09;138.547;347.063;573.128
153;0;271.09;105.267;64.18;71.256;75.344;187.532;111.415;135.082;236.06;140.066;348.136;575.928
154;0;271.156;105.638;64.25;71.937;75.763;188.178;111.972;135.397;236.676;140.883;349.682;577.996
155;0;270.82;105.603;63.919;159.067;75.678;188.127;112.444;135.385;236.919;141.396;350.95;579.728
156;0;270.57;105.702;63.832;160.285;75.818;188.127;112.899;135.37;237.527;142.173;352.255;581.718
157;0;270.449;105.983;63.837;160.798;76.173;188.283;114.26;135.46;238.189;142.848;442.946;584.382
158;0;270.475;106.228;63.923;161.349;76.498;188.529;114.813;135.815;238.758;143.701;445.682;585.832
159;0;270.377;106.463;63.878;162.088;77.02;188.806;202.595;136.076;239.585;144.592;447.387;588.8
160;0;270.225;106.803;63.975;162.692;77.541;188.988;203.773;136.354;240.66;145.673;449.18;679.616
161;0;269.969;107.276;63.968;163.232;77.779;189.226;204.164;136.739;241.473;146.749;451.438;682.027
162;0;269.782;193.514;64.091;163.872;77.957;189.402;204.381;136.904;242.111;147.741;452.859;684.082
163;0;269.51;194.493;64.175;164.269;78.122;189.447;204.913;137.048;330.176;149.7;455.18;687.215
164;0;269.431;194.947;64.072;164.77;78.4;189.478;205.397;137.34;331.46;150.501;456.46;689.36
165;0;269.359;195.577;64.188;165.429;78.976;189.805;205.999;138.214;332.541;151.472;459.389;691.079
166;0;269.347;195.804;64.355;165.909;79.404;190.304;206.682;138.844;334.532;152.537;460.985;692.917
167;0;269.29;196.132;64.412;166.256;79.636;190.44;207.097;139.523;335.389;153.503;462.425;694.581
168;0;269.15;196.483;64.262;166.631;79.926;190.641;207.347;139.896;336.621;154.751;463.84;696.716
169;0;268.928;196.694;64.108;166.973;80.325;190.598;207.673;140.044;337.064;155.549;465.131;698.591
170;0;268.654;196.861;64.119;167.472;80.671;190.738;208.24;140.694;337.467;156.595;466.595;699.862
171;0;268.46;197.1;64.177;168.138;81.148;190.805;208.708;141.168;337.89;157.745;467.925;701.428
172;0;268.134;197.266;64.093;168.461;81.413;190.758;208.827;141.567;338.887;158.421;469.709;703.469
173;0;267.967;197.56;64.148;169.008;81.991;191.219;209.108;141.875;339.646;159.283;471.002;705.891
174;0;267.81;197.88;64.282;169.526;82.209;191.259;209.819;142.211;340.717;160.382;472.171;707.499
175;0;353.637;198.158;64.284;169.974;82.55;277.698;210.212;142.317;341.772;161.428;473.827;708.967
176;0;354.35;283.438;149.478;257.072;168.32;278.707;210.524;228.692;342.418;250.62;561.952;710.602
177;0;268.889;198.556;65.47;172.174;83.94;193.604;125.381;144.87;258.123;166.725;478.58;626.188
178;0;267.625;197.774;65.299;171.013;83.469;192.649;211.153;144.721;257.436;166.399;478.342;626.189
179;0;267.482;197.297;65.371;170.5;83.36;192.689;211.931;145.251;257.402;166.808;479.04;626.884
180;2.014;183.39;113.214;67.496;86.51;0;108.942;128.137;62.041;174.296;83.228;396.071;544.06
181;2.045;182.966;112.744;67.877;86.185;0;108.71;128.311;62.6;174.485;83.542;398.223;632.763
182;1.369;182.405;112.27;67.678;85.359;0;108.379;128.213;62.798;174.597;83.471;398.741;635.303
183;1.039;182.191;112.282;67.933;85.241;0;108.626;128.484;63.713;175.023;83.822;400.093;636.983
