;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
196;0;0.138;18.935;19.052;73.947;74.055;164.484;82.524;53.549;196.815;118.416;120.495;132.296;82.259;123.29;230.592;108.022;248.589;266.461;156.689;309.714;314.461;346.58;102.045;398.821;415.203;464.746;414.35;568.957;
197;0;0.104;18.928;19.08;74.452;74.697;165.204;82.765;188.839;197.546;118.733;73.668;85.607;218.161;124.205;231.308;242.756;249.697;267.999;291.443;310.594;315.71;347.74;102.408;400.056;416.584;465.485;415.324;570.078;
198;0;0.294;18.85;19.001;122.08;122.228;212.951;130.116;236.816;245.295;166.463;255.793;267.677;266.24;171.839;278.768;290.483;298.216;316.361;340.176;358.936;363.954;396.381;149.797;449.113;464.802;513.698;463.33;617.995;
199;59.643;59.745;77.479;78.091;0;0.347;138.605;8.06;162.595;170.895;44.962;181.878;193.424;191.602;50.046;203.922;216.044;224.308;243.335;266.656;285.137;290.008;322.472;82.44;375.187;390.892;439.598;389.381;543.385;
200;0;0.131;18.062;18.76;73.656;73.825;78.956;82.356;103.317;111.278;119.608;122.535;134.182;132.371;139.415;143.926;156.284;165.236;184.104;207.755;226.862;230.883;265.407;86.124;315.996;333.059;380.109;330.227;483.858;
201;0;0.104;18.341;18.893;73.962;74.117;79.252;83.178;103.821;111.618;120.016;122.773;134.797;132.847;140;143.822;156.549;166.208;185.943;209.285;227.903;231.616;266.333;86.991;316.419;333.699;380.552;330.887;484.322;
202;0;0.103;18.663;19.209;74.341;74.454;79.725;83.357;104.374;112.094;121.021;122.992;135.435;133.34;140.537;144.171;156.96;167.054;186.623;209.734;228.921;232.469;267.096;87.902;316.931;334.176;381.047;333.02;484.643;
203;0;0.101;18.768;19.321;74.396;74.581;80.094;83.456;104.532;112.77;121.773;123.253;135.86;133.873;140.724;144.171;157.575;167.841;187.027;209.979;230.073;233.135;268.2;88.735;317.316;336.435;382.483;333.524;;
204;0;0.105;18.89;19.655;74.525;74.679;80.187;83.474;104.716;113.429;122.338;123.398;136.436;134.814;141.249;144.207;158.238;168.635;187.586;210.309;231.258;233.648;269.03;89.727;318.579;338.303;383.283;336.482;;
205;0;0.105;18.903;19.752;74.485;74.659;80.11;83.494;104.677;113.925;122.767;123.307;136.752;135.723;141.566;144.155;158.755;169.11;188.005;210.959;232.308;234.005;271.181;90.983;320.392;;;;;
206;0;0.099;18.892;20.265;74.639;74.747;80.2;83.531;105.198;114.648;123.379;124.03;137.196;136.77;142.051;144.302;159.237;169.656;189.384;211.677;233.536;234.427;;92.077;;;;;;
207;0;0.151;19.153;21.199;74.656;74.799;80.562;83.839;105.833;115.649;124.059;125.097;138.694;138.954;143.241;144.821;159.844;170.108;190.543;;;;;93.601;;;;;;
208;0;0.1;19.393;21.772;75.228;75.353;80.65;83.954;106.181;116.378;124.611;125.355;;;;;;;;;;;;94.817;;;;;;
209;0;0.208;19.31;22.422;;;;;;;;;;;;;;;;;;;;;;;;;;
