Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
127;0;59.454;27.663;49.556;59.968;72.537;93.355;113.613;123.747;143.849;165.024;236.439;318.651;370.158
128;0;60.506;27.903;49.239;59.787;72.571;93.967;114.073;124.497;145.143;166.283;238.33;319.86;372.189
129;0;61.638;28.271;49.187;59.903;72.425;94.262;114.861;125.34;146.221;167.512;240.902;320.845;374.542
130;0;62.746;28.618;49.275;59.643;72.495;94.542;115.712;126.154;146.253;168.39;242.154;323.171;378.654
131;0;61.976;28.754;49.357;59.385;72.427;94.971;116.066;126.064;148.517;171.51;244.517;323.73;382.391
132;0;62.2;27.426;49.384;59.27;72.357;95.555;116.453;128.133;149.365;172.894;246.235;326.009;385.086
133;0;61.718;29.009;49.47;59.066;72.608;96.175;117.418;129.106;150.128;173.88;249.929;327.428;388.092
134;0;60.737;29.337;49.474;58.94;72.163;95.357;117.689;129.788;150.562;174.545;253.271;329.309;391.725
135;0;59.951;29.726;49.537;58.79;74.655;97.972;118.648;130.586;151.185;175.515;255.454;331.391;394.172
136;0;57.691;28.717;48.079;57.169;73.627;97.836;117.977;130.365;150.61;175.107;256.255;332.473;396.192
137;0;56.69;28.77;48.12;57.139;73.557;98.674;118.333;131.174;150.693;175.737;258.538;333.865;398.26
138;0;55.819;29.122;48.162;56.749;73.684;99.166;119.115;131.953;150.926;176.57;260.1;335.492;402.323
139;0;55.05;29.467;48.357;55.56;73.779;99.971;118.504;133.083;151.171;177.178;261.961;336.219;407.637
140;0;54.37;28.525;48.418;56.58;74.22;99.089;120.301;134.202;151.726;177.653;264.054;339.853;414.411
141;0;53.653;28.626;48.716;58.218;74.959;100.63;120.879;133.621;152.092;178.451;267.035;342.773;420.344
142;0;53.244;30.196;47.166;58.691;75.232;101.095;121.448;135.971;152.697;179.205;268.453;344.191;425.867
143;0;52.77;30.278;49.153;59.311;75.505;102.176;122.251;137.633;153.201;179.88;269.878;345.301;430.207
144;0;52.055;30.225;49.703;59.678;75.858;102.671;122.884;138.723;154.185;180.392;271.014;346.544;434.471
145;0;51.299;30.124;50.401;60.255;75.976;103.047;123.528;139.645;154.687;180.932;272.343;348.774;439.999
146;0;50.628;30.025;50.944;60.637;76.568;103.474;124.005;140.539;155.226;181.772;273.386;350.607;445.055
147;0;50.163;30.113;51.532;61.359;76.634;103.946;124.662;141.643;156.3;183.033;274.302;354.994;449.908
148;0;49.275;29.821;52.293;61.943;76.644;104.363;124.966;142.347;156.684;182.366;275.246;357.758;454.85
149;0;48.718;29.688;52.932;62.266;77.328;105.023;125.177;143.489;157.252;184.466;276.099;360.461;459.099
150;0;47.954;29.574;53.908;62.767;77.377;105.542;125.485;144.417;157.833;184.959;277.08;362.763;465.19
151;0;46.938;29.305;54.478;62.799;77.383;105.973;125.76;145.285;158.592;186.207;278.075;364.452;468.85
152;0;46.267;29.399;55.03;63.179;77.391;104.377;126.1;145.675;159.749;186.809;279.749;366.005;475.896
153;0;45.394;29.356;55.576;63.487;77.045;106.487;126.419;146.413;160.407;187.365;281.762;367.546;481.381
154;0;44.985;29.758;56.485;64.173;77.386;108.613;127.368;147.224;159.932;187.836;285.741;369.251;485.664
155;0;43.241;29.722;57.033;64.879;77.671;109.758;127.747;148.13;162.041;188.004;289.424;371.184;489.887
156;0;44.867;29.838;58.074;65.625;78.235;111.135;128.326;147.813;163.101;188.806;292.466;373.051;494.779
157;0;45.544;30.056;57.23;66.501;78.692;122.199;129.037;150.011;163.977;189.475;295.559;374.833;500.806
158;0;46.448;30.165;58.344;67.381;77.691;124.28;129.547;151.243;165.778;190.034;299.255;376.733;504.235
159;0;48.49;31.453;60.021;69.105;79.225;126.417;131.299;153.556;167.917;192.182;303.075;379.971;507.053
160;0;47.982;30.536;59.463;68.609;80.492;126.073;130.911;154.012;167.554;192.45;304.65;379.776;507.842
161;0;47.169;29.438;58.51;67.759;80.26;126.322;130.211;153.956;166.907;191.431;306.594;380.962;508.671
162;0;47.355;29.385;58.411;68.158;81.454;126.935;130.392;155.075;168.039;191.703;309.352;382.708;510.686
163;0;47.792;29.56;58.486;68.659;82.445;128.107;129.594;156.714;168.774;192.284;312.319;383.826;512.39
164;0;48.432;27.819;58.474;68.094;82.299;129.092;132.914;158.167;169.802;203.785;313.88;385.302;514.457
165;0;48.994;30.91;58.569;70.976;84.562;129.108;134.77;159.755;169.929;206.121;318.103;386.53;516.588
166;0;48.059;32.533;58.802;72.489;84.65;130.893;136.49;160.348;172.248;207.172;321.073;388.058;518.48
167;0;49.04;34.121;59.002;74.008;86.55;131.807;138.486;162.455;173.783;208.395;323.536;389.455;520.168
168;0;48.856;35.314;59.232;75.145;87.434;132.465;138.325;163.265;174.791;209.759;326.186;391.176;522.208
169;0;48.544;36.516;59.364;76.246;88.063;133.158;139.833;164.155;176.065;210.9;328.262;392.592;524.195
170;0;48.474;37.871;59.57;77.361;88.683;133.965;140.1;164.656;177.147;213.031;330.323;393.9;526.174
171;0;48.361;39.236;58.253;78.7;89.236;134.721;140.582;165.873;178.392;214.323;332.965;395.265;527.991
172;0;47.829;40.144;58.4;79.665;89.821;135.495;140.592;166.338;179.321;215.716;334.896;396.311;529.202
