Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
81;46.013;46.039;46.145;46.359;46.338;46.512;46.866;46.688;46.9;133.067;46.937;47.278;48.918
82;45.893;45.969;131.409;46.499;46.335;46.414;46.591;46.409;47.225;48.235;46.675;47.576;49.022
83;45.892;45.935;47.025;46.133;46.21;46.64;46.674;46.169;46.798;46.934;46.74;47.248;48.459
84;45.943;45.978;46.315;46.148;46.2;46.261;46.638;46.363;46.742;46.766;46.829;48.101;49.844
85;45.939;45.923;46.244;46.217;46.323;46.248;46.551;46.444;46.678;46.701;46.924;47.325;48.744
86;45.956;45.945;46.277;46.34;46.234;46.303;46.554;46.38;46.542;46.404;46.891;47.835;48.132
87;45.766;46.092;46.14;46.276;46.94;46.289;46.587;46.609;47.07;46.421;46.651;47.167;48.614
88;46.129;46.063;46.235;46.259;46.016;46.106;46.559;132.276;46.703;46.758;46.647;48.083;48.928
89;45.859;45.995;46.312;46.149;46.198;46.133;132.32;47.86;46.774;46.541;46.856;47.348;136.036
90;45.892;45.913;46.137;46.974;46.289;47.515;47.513;46.727;46.708;46.494;46.959;47.536;51.307
91;46.814;46.052;46.43;46.487;46.477;46.598;46.832;46.675;46.935;46.402;46.655;47.365;49.267
92;46.083;131.876;46.242;46.474;46.251;46.14;47.082;46.666;47.162;46.463;46.881;47.654;48.987
93;45.812;47.016;46.437;46.245;46.11;46.474;46.672;46.724;46.921;46.632;46.554;48.076;48.082
94;45.896;46.717;46.284;46.199;46.314;46.256;46.595;46.62;46.794;46.689;46.649;50.181;48.787
95;45.937;46.589;46.212;46.199;46.315;46.338;46.586;46.61;46.792;46.447;46.644;138.293;47.985
96;45.981;46.702;46.404;46.15;46.374;46.294;46.663;46.659;46.712;46.374;46.643;48.188;48.184
97;45.969;132.178;46.155;46.291;46.129;46.271;46.668;46.438;46.52;46.377;47.22;47.417;47.702
98;46.085;47.5;46.194;47.633;46.648;46.662;46.731;46.76;46.686;46.663;46.688;47.153;48.707
99;45.943;46.518;46.259;46.749;46.837;46.775;46.669;46.779;46.767;46.481;46.722;47.127;49.005
100;46.045;46.392;46.147;46.221;46.203;46.247;46.813;46.696;46.636;46.638;46.578;47.33;48.173
101;45.908;46.413;46.069;46.325;46.468;46.425;46.495;46.673;46.547;47.038;46.612;47.285;48.114
102;45.995;46.315;46.26;46.416;46.533;46.289;46.641;46.666;46.689;46.627;46.756;47.358;48.053
103;45.893;46.845;46.146;46.481;46.186;46.473;46.611;46.608;47.376;46.55;46.499;46.997;48.495
104;45.942;46.306;46.092;46.317;46.362;46.319;46.64;46.449;46.799;46.723;46.748;47.432;49.459
105;45.943;46.389;46.059;46.468;46.564;46.452;46.714;46.776;46.928;46.779;47.145;47.189;48.663
106;45.859;46.214;46.083;46.404;46.317;46.475;46.606;46.683;46.697;46.373;46.606;46.838;47.865
107;45.877;46.426;46.67;46.432;47.021;46.524;142.776;46.867;46.625;46.336;46.729;47.104;47.704
108;45.974;46.282;46.597;46.808;46.59;46.686;47.46;46.69;46.611;46.513;46.449;47.177;48.469
109;45.925;46.247;132.131;131.491;132.277;132.301;46.821;46.986;134.079;46.726;132.389;47.122;49.297
110;46.149;46.293;46.918;47.251;46.942;47.423;46.592;46.684;47.872;46.794;48.298;47.005;48.126
111;131.371;46.249;46.216;46.555;46.79;47.242;46.589;46.742;47.354;46.515;47.571;47.45;47.857
112;46.898;46.37;46.462;46.439;46.861;46.758;46.691;46.748;47.428;47.363;47.446;46.833;136.902
113;46.535;46.254;46.311;46.507;46.478;46.666;46.49;46.57;47.425;46.632;47.514;46.82;49.403
114;46.503;46.276;46.109;47.025;46.442;46.35;46.658;46.617;47.212;46.316;47.648;47.551;48.288
115;46.428;46.359;46.582;46.253;46.994;46.538;46.71;46.529;47.217;46.538;47.683;47.307;48.452
116;46.376;46.251;46.373;46.68;46.631;47.016;46.902;46.431;48.812;47.452;47.611;46.813;49.529
117;46.301;46.263;46.308;46.603;46.734;46.672;46.758;46.751;47.714;144.578;46.997;46.925;48.237
118;46.415;46.27;46.287;46.35;46.742;46.738;46.689;46.9;47.053;47.987;47.443;46.865;48.054
119;46.404;46.188;46.14;46.546;46.874;47;46.676;46.831;47.368;47.197;47.275;46.942;47.856
120;46.377;46.208;46.315;46.569;46.632;48.303;46.939;46.812;47.415;46.945;47.139;47.075;48.021
121;46.2;46.241;46.198;46.509;46.542;46.475;46.814;46.784;46.966;47.583;47.427;47.08;48.324
122;46.349;46.123;46.182;46.543;46.554;46.681;46.784;134.357;47.206;46.876;46.936;47.19;48.273
123;46.3;46.165;46.285;46.471;46.458;46.485;46.664;48.961;47.045;47.033;47.135;47.639;48.265
124;46.34;46.332;46.438;46.558;46.453;46.526;46.648;48.305;47.054;47.416;47.091;47.414;48.555
125;46.363;46.328;46.131;46.487;46.842;46.44;46.865;48.124;47.021;47.523;47.291;152.755;48.347
126;46.525;46.167;46.166;46.569;46.504;46.749;46.772;47.523;47.108;46.998;47.165;50.698;48.112
127;46.336;46.195;46.16;46.707;46.44;46.642;46.872;47.724;47.02;47.46;47.26;49.424;48.373
128;46.424;46.259;46.452;46.668;46.44;46.731;46.956;47.255;47.229;47.138;47.75;51.53;48.589
129;46.22;46.246;46.442;46.706;46.693;46.566;46.647;47.645;47.429;47.117;47.567;50.076;48.543
130;46.292;46.338;46.302;46.631;46.647;46.474;46.872;48.064;47.105;47.198;47.01;48.63;48.58
131;46.339;46.15;46.284;46.888;46.612;46.428;46.721;47.33;47.719;47.436;47.145;48.293;48.693
132;46.349;46.179;46.309;46.669;46.464;46.553;46.872;47.058;47.033;47.55;47.164;47.889;48.161
133;46.381;46.096;46.285;46.522;46.49;46.684;46.703;46.661;46.972;47.466;46.935;48.224;48.827
134;46.226;46.169;46.261;46.602;46.329;46.81;46.977;47.163;47.089;47.351;47.089;49.848;48.45
135;46.289;132.404;46.248;46.607;46.547;47.035;46.732;47.022;47.09;47.268;47.201;47.444;48.545
136;46.341;47.603;46.358;46.569;46.462;46.886;46.727;47.015;47.087;46.903;46.964;47.646;48.912
137;46.243;46.751;46.348;46.586;46.702;46.957;46.931;47.202;47.171;47.528;47;48.752;48.316
138;46.449;46.755;46.216;46.624;46.592;46.967;46.696;47.057;47.167;47.114;47.337;47.429;138.435
139;131.723;46.54;46.348;46.536;46.528;46.794;46.798;47.11;47.089;46.577;47.117;48.281;50.254
140;46.966;46.622;46.212;46.629;46.534;46.97;46.695;47.366;47.558;46.612;47.534;48.018;48.434
141;46.471;46.641;46.278;132.682;46.744;132.208;46.816;47.194;133.146;47.045;47.392;48.141;48.493
