Lap;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
152;64.144;64.125;64.615;64.586;64.618;64.781;64.967;64.914;65.552;64.843;64.733;64.693;64.713;65.13;65.888;64.684;64.714;64.748;65.559;65.434;65.806;65.768;66.991;65.32;17.536;19.301;201.371;66.035;67.692;
153;64.192;64.181;64.414;64.422;64.793;64.727;64.917;64.918;64.77;64.689;64.761;64.911;64.936;65.058;64.869;64.563;64.717;64.739;65.575;65.61;65.402;65.273;65.961;64.787;199.399;210.869;66.47;65.595;68.376;
154;64.047;64.049;17.171;17.192;64.69;64.61;65.602;64.758;64.692;64.729;64.886;65.084;64.626;64.964;64.915;64.376;17.371;64.744;65.552;65.399;65.113;65.419;65.848;64.767;66.141;68.358;66.358;65.477;68.51;
155;64.245;64.244;198.862;198.977;64.705;64.824;64.604;65.038;64.663;64.758;64.732;64.669;64.787;64.93;65.547;64.704;199.735;65.001;65.475;64.919;65.532;65.374;65.945;64.456;67.395;65.816;66.243;65.774;66.727;
156;64.182;64.18;65.018;64.92;64.836;64.768;64.761;64.993;64.463;64.552;64.768;64.722;64.732;65.004;64.968;64.701;65.747;64.806;17.625;64.826;65.218;65.308;66.077;64.397;65.132;66.387;65.672;17.793;67.286;
157;64.24;64.245;64.751;64.95;64.872;64.699;64.867;64.78;64.622;64.722;64.536;64.593;64.755;64.855;17.512;64.97;65.541;64.965;210.807;65.231;65.429;65.425;65.615;64.847;66.065;65.757;65.941;199.993;66.907;
158;64.246;64.242;64.883;64.726;64.626;64.614;64.727;64.847;64.561;64.432;64.721;64.579;65.19;64.808;199.71;64.343;65.312;65.362;65.959;65.167;65.298;17.924;65.728;64.666;66.277;65.66;65.741;65.592;68.968;
159;64.138;64.148;65.213;64.873;64.6;64.615;64.501;64.803;64.717;64.748;64.435;64.516;64.649;64.812;65.412;64.601;65.284;17.707;65.109;65.092;65.412;200.274;65.595;64.844;65.171;65.389;65.491;66.222;66.861;
160;64.501;64.493;64.832;65.084;64.64;64.605;64.638;17.414;64.43;64.473;65.416;64.979;17.252;65.156;64.92;64.736;65.199;199.177;65.124;64.989;65.435;66.247;65.653;64.405;65.607;65.979;65.729;65.608;17.992;
161;64.653;64.653;64.43;64.554;64.508;64.506;64.656;198.207;64.797;64.612;64.544;65.139;199.212;66.03;65.475;64.417;65.542;66.581;65.835;65.182;65.18;66.301;65.55;64.576;65.669;65.822;65.502;65.24;202.603;
162;64.111;64.111;64.585;64.641;64.969;64.976;64.341;64.637;64.309;17.485;17.624;17.221;65.547;65.338;65.617;64.372;65.329;65.168;64.881;65.062;65.142;65.269;65.913;64.664;65.594;65.96;65.49;66.447;66.319;
163;64.251;64.248;64.735;64.61;17.391;17.389;64.234;64.351;64.458;198.486;199.216;199.124;65.214;17.871;65.144;17.295;65.472;65.073;64.884;65.414;65.154;65.879;65.82;64.429;65.906;67.654;66.285;65.255;66.366;
164;64.541;64.544;64.359;64.306;199.801;199.48;64.651;64.355;64.341;64.916;65.286;66.846;65.833;198.975;65.876;198.035;65.471;64.789;64.891;65.16;65.174;65.528;65.161;64.377;65.725;65.55;65.811;65.015;66.793;
165;17.052;17.084;64.326;64.556;65.732;65.778;17.334;65.297;64.605;65.695;64.991;65.564;64.974;65.443;64.985;65.071;65.249;64.645;64.911;65.044;65.24;65.807;18.25;17.349;65.99;66.317;65.817;65.442;66.779;
166;198.902;199.057;64.543;64.417;65.494;65.348;199.2;64.442;17.355;64.831;65.1;64.555;65.099;65.313;64.648;64.987;65.573;64.774;65.025;65.149;65.902;65.008;200.737;198.56;65.569;66.564;65.017;65.938;66.596;
167;64.815;64.853;64.506;64.409;66.201;66.864;64.978;64.686;199.769;64.92;64.933;64.51;65.096;65.27;64.98;64.906;65.625;65.016;65.439;17.492;65.445;65.348;66.293;65.631;17.501;66.174;65.607;65.108;66.668;
168;64.729;64.583;64.154;64.269;64.819;64.893;64.821;64.665;65.645;65.049;64.788;64.503;64.831;65.054;64.686;64.772;17.871;64.933;17.681;199.834;17.782;65.478;65.714;65.437;204.804;66.023;17.824;65.355;67.007;
