Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
76;71.848;72.652;72.004;73.926;72.8;71.941;72.879;72.634;73.691;72.817;73.791;72.893;74.774;74.353
77;72.012;72.666;71.946;72.732;73.064;71.806;73.084;73.251;73.139;73.111;73.616;72.624;77.681;74.395
78;71.958;73.193;71.952;72.716;72.981;72.209;72.914;72.256;72.809;72.799;73.421;73.726;74.007;74.24
79;71.973;73.071;72.073;72.596;191.418;71.985;73.438;73.389;73.126;73.632;73.236;72.704;73.998;74.345
80;71.67;72.768;71.666;72.614;73.87;72.143;73.104;191.73;73.251;73.061;193.175;72.521;73.369;73.361
81;71.787;72.944;71.845;72.618;72.59;72.212;73.63;75.196;72.848;73.43;74.57;72.521;73.453;73.709
82;71.579;73.008;71.536;72.568;72.248;72.326;73.4;73.775;72.826;73.172;73.866;72.819;73.576;73.304
83;71.88;72.874;71.83;72.552;72.304;72.297;72.664;73.695;73.043;73.088;73.354;72.604;73.49;73.359
84;71.725;73.022;71.793;72.929;72.146;72.254;72.991;73.677;72.94;73.033;72.87;72.75;73.538;73.947
85;71.72;72.793;71.694;72.839;72.178;72.105;72.834;73.7;73.088;73.101;73.021;72.921;73.421;74.253
86;71.685;72.854;71.702;72.68;72.068;71.965;72.481;73.627;73.224;73.051;73.121;72.783;73.189;73.429
87;71.651;72.822;71.649;72.497;72.177;72.057;72.906;73.715;192.69;73.568;72.703;72.55;73.311;73.724
88;71.774;73.058;71.84;72.506;72.504;72.205;72.75;73.854;76.767;73.191;72.715;72.989;74.692;73.522
89;71.817;72.994;71.773;72.582;72.107;71.988;73.275;73.881;75.019;73.659;72.754;72.959;192.639;74.621
90;72;73.002;71.803;72.768;71.95;72.012;73.012;73.523;74.792;72.946;73.354;73.134;77.106;195.666
91;71.674;73.329;71.855;72.802;72.175;72.051;73.041;191.388;74.299;73.162;72.982;72.842;73.912;76.332
92;71.674;73.122;71.653;72.812;72.301;71.936;72.837;74.763;74.648;73.156;73.22;72.853;74.165;75.762
