Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
77;0.281;257.622;0;127.14;137.009;39.719;38.336;288.111;186.264;307.848;338.442;358.585;407.627;452.405
78;0.287;258.863;0;127.904;138.038;39.976;39.298;288.415;187.121;308.695;339.911;360.359;409.682;454.693
79;0.187;259.861;0;128.427;257.383;39.888;40.663;289.731;188.174;310.254;341.074;360.99;411.607;456.965
80;0.191;260.963;0;129.375;259.587;40.365;42.101;409.795;189.759;311.649;462.583;361.845;413.31;458.66
81;0.133;262.062;0;130.148;260.332;40.732;43.886;413.146;190.762;313.234;465.308;362.521;414.918;460.524
82;0.176;263.534;0;131.18;261.044;41.522;45.75;415.385;192.052;314.87;467.638;363.804;416.958;462.292
83;0.226;264.578;0;131.902;261.518;41.989;46.584;417.25;193.265;316.128;469.162;364.578;418.618;463.821
84;0.158;265.807;0;133.038;261.871;42.45;47.782;419.134;194.412;317.368;470.239;365.535;420.363;465.975
85;0.184;266.906;0;134.183;262.355;42.861;48.922;421.14;195.806;318.775;471.566;366.762;422.09;468.534
86;0.167;268.058;0;135.161;262.721;43.124;49.701;423.065;197.328;320.124;472.985;367.843;423.577;470.261
87;0.169;269.231;0;136.009;263.249;43.532;50.958;425.131;318.369;322.043;474.039;368.744;425.239;472.336
88;0.103;270.449;0;136.675;263.913;43.897;51.868;427.145;323.296;323.394;474.914;369.893;428.091;474.018
89;0.147;271.67;0;137.484;264.247;44.112;53.37;429.253;326.542;325.28;475.895;371.079;548.957;476.866
90;0.344;272.869;0;138.449;264.394;44.321;54.579;430.973;329.531;326.423;477.446;372.41;554.26;600.729
91;0.163;274.343;0;139.396;264.714;44.517;55.765;550.506;331.975;327.73;478.573;373.397;556.317;605.206
92;0.184;275.812;0;140.555;265.362;44.8;56.949;553.616;334.97;329.233;480.14;374.597;558.829;609.315
93;0.106;395.324;0;141.489;265.636;44.994;58.232;556.202;337.256;450.194;481.601;485.69;561.524;614.181
94;0.094;396.914;0;142.638;266.062;45.078;59.312;557.564;339.612;454.154;482.719;490.742;564.174;617.028
95;0.13;397.605;0;143.882;266.82;45.731;60.827;558.966;460.656;456.576;483.482;494.496;566.53;620.773
96;0.374;397.778;0;262.992;266.597;164.711;61.631;559.98;462.461;458.157;484.83;497.635;568.105;625.98
97;0.154;279.959;0;147.073;148.791;48.768;73.943;442.739;345.344;341.79;369.037;382.803;451.515;513.549
98;0;278.853;1.162;146.75;147.643;48.867;76.373;442.497;344.39;341.758;368.204;383.978;452.034;516.431
99;0;279.252;2.07;148.518;148.632;50.102;77.161;443.641;344.995;343.513;368.756;386.861;453.452;520.388
100;0;279.423;2.767;150.799;149.213;51.298;77.519;444.605;345.605;344.935;369.903;389.648;455.569;524.287
101;0;279.808;4.243;151.567;149.845;52.751;78.494;445.809;345.861;347.139;490.109;392.577;457.271;528.618
102;0;280.108;5.127;152.263;151.237;53.96;78.983;446.999;346.706;348.551;493.61;395.666;458.542;654.362
103;0;280.419;5.994;153.153;270.891;55.344;79.677;448.196;347.356;350.025;494.97;398.756;583.178;657.975
104;0;280.612;8.389;153.748;273.35;56.656;81.038;449.198;348.813;351.228;495.889;401.201;586.312;661.39
105;0;280.782;127.952;154.481;274.925;58.073;81.422;450.563;349.697;352.787;497.136;403.965;589.445;665.147
106;0;281.028;131.083;155.156;276.509;59.651;81.892;451.879;349.984;354.562;498.532;406.655;592.05;667.369
107;0;281.218;133.039;155.818;277.784;60.705;82.334;453.067;350.78;356.13;499.886;409.537;594.209;670.575
108;0;281.811;134.758;156.511;278.844;61.971;83.107;454.448;351.428;357.935;501.41;412.627;596.829;675.612
109;0;281.93;136.109;157.156;280.038;63.082;83.418;455.671;351.762;359.864;502.726;415.926;598.549;678.382
110;0;282.148;256.425;158.089;281.268;183.331;83.657;456.935;352.406;362.179;503.696;418.67;600.819;682.298
111;0;282.458;258.847;159.069;283.056;185.344;84.28;458.508;352.965;363.781;504.979;559.979;602.701;685.33
112;0;282.765;259.828;160.626;283.831;186.875;85.061;459.745;353.972;365.67;506.269;564.302;605.077;688.309
113;0;283.273;260.721;161.923;284.84;188.068;85.8;461.091;354.672;367.373;507.513;568.009;607.895;691.103
114;0;283.529;262.037;162.992;285.899;188.858;86.463;462.15;355.472;369.305;508.84;570.829;610.443;695.47
115;0;283.862;263.041;164.295;287.481;189.548;87.296;582.357;356.134;371.262;628.609;573.496;612.778;821.929
116;0;284.217;263.648;165.722;288.242;190.815;88;585.203;356.746;492.051;631.666;576.034;615.062;825.665
117;0;403.658;264.732;166.982;407.076;191.606;89.032;586.816;357.687;495.281;633.98;578.816;782.123;828.985
118;0;407.917;384.119;167.995;410.487;192.306;89.869;588.471;358.739;497.103;635.956;581.827;786.08;831.293
119;0;410.673;386.53;288.859;541.333;192.977;90.389;589.863;478.252;499.185;637.559;584.528;790.071;834.597
120;0;413.278;387.899;290.858;543.272;193.908;209.43;591.307;481.052;500.771;639.738;586.715;792.359;837.521
121;0;297.385;270.909;173.885;425.769;76.904;94.044;474.431;364.408;384.181;523.183;471.011;677.277;722.369
122;0;296.89;269.323;172.389;423.811;75.311;93.336;473.119;363.193;383.028;522.207;470.718;675.996;722.636
123;0;297.393;268.844;171.641;422.654;74.592;93.528;472.861;363.229;382.522;522.74;471.132;675.933;723.736
124;0;297.396;268.091;170.791;421.601;73.384;93.084;473.273;362.973;381.994;522.788;473.455;677.086;724.776
125;0;297.469;267.462;169.841;420.454;72.704;92.492;473.045;363.241;382.353;523.16;473.969;677.35;726.141
126;0;298.367;267.507;169.485;420.094;72.618;92.905;473.292;363.436;383.02;523.958;475.437;677.954;728.054
127;0;299.454;267.663;169.556;419.968;72.537;93.355;473.613;363.747;383.849;525.024;476.439;678.651;730.158
128;0;300.506;267.903;169.239;419.787;72.571;93.967;474.073;364.497;385.143;526.283;478.33;679.86;732.189
129;0;301.638;268.271;169.187;419.903;72.425;94.262;474.861;365.34;386.221;527.512;480.902;680.845;734.542
130;0;302.746;268.618;169.275;419.643;72.495;94.542;475.712;366.154;506.253;648.39;482.154;683.171;858.654
131;0;421.976;268.754;169.357;419.385;72.427;94.971;476.066;486.064;508.517;651.51;484.517;803.73;862.391
132;0;422.2;387.426;169.384;419.27;72.357;95.555;476.453;488.133;509.365;652.894;606.235;806.009;865.086
133;0;421.718;389.009;169.47;419.066;72.608;96.175;477.418;489.106;510.128;653.88;609.929;807.428;868.092
134;0;420.737;389.337;169.474;418.94;192.163;215.357;477.689;489.788;510.562;654.545;613.271;809.309;871.725
135;0;299.951;269.726;49.537;298.79;74.655;97.972;358.648;370.586;391.185;535.515;495.454;691.391;754.172
136;0;297.691;268.717;48.079;297.169;73.627;97.836;357.977;370.365;390.61;535.107;496.255;692.473;756.192
137;0;296.69;268.77;48.12;297.139;73.557;98.674;358.333;371.174;390.693;535.737;498.538;693.865;758.26
138;0;295.819;269.122;48.162;296.749;73.684;99.166;359.115;371.953;390.926;536.57;500.1;695.492;882.323
139;0;295.05;269.467;48.357;415.56;73.779;99.971;478.504;373.083;391.171;537.178;501.961;696.219;887.637
140;0;294.37;388.525;48.418;536.58;74.22;219.089;480.301;374.202;391.726;537.653;624.054;699.853;894.411
141;0;293.653;508.626;48.716;538.218;74.959;220.63;480.879;493.621;392.092;538.451;627.035;702.773;900.344
142;0;293.244;510.196;167.166;538.691;75.232;221.095;481.448;495.971;392.697;539.205;628.453;704.191;905.867
143;0;292.77;510.278;169.153;539.311;75.505;222.176;482.251;497.633;393.201;539.88;629.878;705.301;910.207
144;0;292.055;510.225;169.703;539.678;75.858;222.671;482.884;498.723;394.185;540.392;631.014;706.544;914.471
145;0;291.299;510.124;170.401;540.255;75.976;223.047;483.528;499.645;394.687;540.932;632.343;708.774;919.999
146;0;290.628;510.025;170.944;540.637;76.568;223.474;484.005;500.539;395.226;541.772;633.386;830.607;925.055
147;0;290.163;510.113;171.532;541.359;76.634;223.946;484.662;501.643;396.3;543.033;634.302;834.994;929.908
148;0;289.275;509.821;172.293;541.943;76.644;224.363;484.966;502.347;396.684;662.366;635.246;837.758;934.85
149;0;288.718;509.688;172.932;542.266;77.328;225.023;485.177;503.489;397.252;664.466;636.099;840.461;939.099
150;0;287.954;509.574;173.908;542.767;77.377;225.542;485.485;504.417;397.833;664.959;637.08;842.763;945.19
151;0;286.938;509.305;174.478;542.799;77.383;225.973;485.76;505.285;398.592;666.207;638.075;844.452;948.85
152;0;286.267;509.399;175.03;543.179;77.391;344.377;486.1;505.675;399.749;666.809;639.749;846.005;955.896
153;0;285.394;509.356;175.576;543.487;77.045;346.487;486.419;506.413;400.407;667.365;761.762;847.546;961.381
154;0;284.985;509.758;176.485;544.173;77.386;348.613;487.368;507.224;519.932;667.836;765.741;849.251;965.664
155;0;403.241;509.722;177.033;544.879;77.671;349.758;487.747;508.13;522.041;668.004;769.424;851.184;969.887
156;0;404.867;509.838;178.074;545.625;78.235;351.135;488.326;627.813;523.101;668.806;772.466;853.051;974.779
157;0;405.544;510.056;297.23;546.501;78.692;482.199;489.037;630.011;523.977;669.475;775.559;854.833;1100.806
158;0;406.448;510.165;298.344;547.381;197.691;484.28;489.547;631.243;525.778;670.034;779.255;856.733;1104.235
159;0;288.49;391.453;180.021;429.105;199.225;366.417;371.299;513.556;407.917;552.182;663.075;739.971;987.053
